relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_family,relationship_subtype,outcome_space_id,outcome_subtype_a,outcome_subtype_b,entity_type_a,entity_type_b,stage_a,stage_b,candidate_a,candidate_b,party_a,party_b,team_a,team_b,validation_status,strategy_eligibility_status,strategy_family,mixed_subtype_reason,strategy_eligible_reason,rejection_reasons_json,strategy_exclusion_reasons_json,final_confidence
cc376429463d78167ad174e43317b2d3,559690,562003,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,rejected,mixed_subtype,mixed_party_nomination,2028_democrats_presidential_nomination,candidate_wins_nomination,candidate_wins_nomination,candidate,candidate,nomination,nomination,,,Democrats,Republicans,,,needs_manual_review,ineligible,none,same person appears in nomination markets for different parties,not strategy eligible by default,"[{""code"": ""mixed_party_nomination"", ""detail"": ""same person appears in nomination markets for different parties""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.5283
05ae0794a6a689f86dd1441ff2df26ec,572765,582134,Will Liverpool finish in 3rd place in the 2025-26 English Premier League?,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,rejected,mixed_subtype,team_exact_finish_position_vs_team_top_n_finish,premier_league_finish_position,team_exact_finish_position,team_top_n_finish,team,team,league_finish,league_finish,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""team_exact_finish_position_vs_team_top_n_finish"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.4653
4d8e3f1dfa6859ea0a922dd6e3d3c163,572770,582138,Will Manchester United finish in 3rd place in the 2025-26 English Premier League?,Will Manchester United finish in the top 4 of the EPL 2025–26 standings?,rejected,mixed_subtype,team_exact_finish_position_vs_team_top_n_finish,premier_league_finish_position,team_exact_finish_position,team_top_n_finish,team,team,league_finish,league_finish,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""team_exact_finish_position_vs_team_top_n_finish"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.4114
866a3f7cda29a5d81f552e8d3bf9ee2e,572772,582139,Will Aston Villa finish in 3rd place in the 2025-26 English Premier League?,Will Aston Villa finish in the top 4 of the EPL 2025–26 standings?,rejected,mixed_subtype,team_exact_finish_position_vs_team_top_n_finish,premier_league_finish_position,team_exact_finish_position,team_top_n_finish,team,team,league_finish,league_finish,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.400 < 0.5""}, {""code"": ""team_exact_finish_position_vs_team_top_n_finish"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.39
351d1fdb96c8437bcc50c9efdc849634,561239,565064,Will Kamala Harris win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.3057
0462c7c0d38ac054df91da25b1e186e1,540817,540820,New Rihanna Album before GTA VI?,Trump out as President before GTA VI?,rejected,mixed_subtype,album_release_before_reference_vs_movie_release_before_reference,gta_vi_reference_clock,album_release_before_reference,movie_release_before_reference,event,event,temporal,temporal,,,,,,,rejected,ineligible,none,same broad outcome space but different outcome subtypes,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.333 < 0.5""}, {""code"": ""album_release_before_reference_vs_movie_release_before_reference"", ""detail"": ""same broad outcome space but different outcome subtypes""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.3024
cf16259291f23bb8c092833634ff60b6,561246,565064,Will Ron DeSantis win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2918
b7af699c4c25cda7c7c5b16ee302e7fb,561245,565064,Will Nikki Haley win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2884
9d5e6da736426316f2d7b4d67325f2ae,561236,565064,Will Gretchen Whitmer win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2832
8c54d9a10d5386ce5266acdd320cf56a,561234,565064,Will Marco Rubio win the 2028 US Presidential Election?,Will the Republicans win the 2028 US Presidential Election?,rejected,mixed_subtype,candidate_to_party_dependency,2028_us_presidential_election,candidate_winner_same_election,party_winner_same_election,candidate,party,general_election,general_election,,,,Republicans,,,rejected,ineligible,none,candidate market and party market share a broad election space,not strategy eligible by default,"[{""code"": ""entity_mismatch"", ""detail"": ""entity_overlap=0.100 < 0.5""}, {""code"": ""candidate_to_party_dependency"", ""detail"": ""candidate market and party market share a broad election space""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.2829
