relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_family,relationship_subtype,outcome_space_id,outcome_subtype_a,outcome_subtype_b,entity_type_a,entity_type_b,stage_a,stage_b,candidate_a,candidate_b,party_a,party_b,team_a,team_b,validation_status,strategy_eligibility_status,strategy_family,mixed_subtype_reason,strategy_eligible_reason,rejection_reasons_json,strategy_exclusion_reasons_json,final_confidence
e1872765035ad88c7f40da4b8df7da14,569346,569369,Will Daniel Quintero win the 1st round of the 2026 Colombian presidential election?,Will Daniel Quintero win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5618
a6edab19118abe85173fa9a8b0f4cbe4,553856,564210,Will the Oklahoma City Thunder win the 2026 NBA Finals?,Will the Oklahoma City Thunder win the NBA Western Conference Finals?,inverse,contradiction,same_topic_no_trade,nba_finals,team_wins_championship,team_wins_conference,team,team,championship,conference,,,,,Oklahoma City Thunder,,needs_manual_review,ineligible,none,,not strategy eligible by default,"[{""code"": ""manual_review_band"", ""detail"": ""final_confidence=0.557 in review band""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5571
a76d8c40b710308fead83c35e873b19f,569345,569370,Will Roy Barreras win the 1st round of the 2026 Colombian presidential election?,Will Roy Barreras win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5565
5dc05ffe4bb533b54ab4caf1b113b7f2,569334,569358,Will Claudia López win the 1st round of the 2026 Colombian presidential election?,Will Claudia López win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.554
cd1b23c2db2b5e4ee6b4318189cbed90,569340,569364,Will Juan Manuel Galán win the 1st round of the 2026 Colombian presidential election?,Will Juan Manuel Galán win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5538
2f3b8169d39e895ea88fe78bb95bfcea,569338,569362,Will Gustavo Bolívar win the 1st round of the 2026 Colombian presidential election?,Will Gustavo Bolívar win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5314
a15ce15124782057519af731455cc627,569342,569373,Will Paloma Valencia win the 1st round of the 2026 Colombian presidential election?,Will Paloma Valencia win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5306
cc376429463d78167ad174e43317b2d3,559690,562003,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,rejected,mixed_subtype,mixed_party_nomination,2028_democrats_presidential_nomination,candidate_wins_nomination,candidate_wins_nomination,candidate,candidate,nomination,nomination,,,Democrats,Republicans,,,needs_manual_review,ineligible,none,same person appears in nomination markets for different parties,not strategy eligible by default,"[{""code"": ""mixed_party_nomination"", ""detail"": ""same person appears in nomination markets for different parties""}]","[{""code"": ""taxonomy_not_strategy_eligible"", ""detail"": ""not strategy eligible by default""}]",0.5283
ce10f57c2a8d9700af8f9633f13eca01,569341,569365,Will Germán Vargas Lleras win the 1st round of the 2026 Colombian presidential election?,Will Germán Vargas Lleras win the 2026 Colombian presidential election?,rejected,unknown,first_round_to_general_dependency,2026_colombian_presidential_election_first_round,first_round_winner,candidate_winner_same_election,candidate,candidate,first_round,general_election,,,,,,,needs_manual_review,ineligible,none,,staged election relationship requires terms review,"[{""code"": ""first_round_to_general_dependency"", ""detail"": ""staged election relationship requires terms review""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.15""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.15""}]",0.5267
59ee0871ba2cbc59237b9ef1654b92a2,593983,593984,Will Trump endorse John Cornyn for TX-Sen by Nov 2 2026 ET?,Will Trump endorse Ken Paxton for TX-Sen by Nov 2 2026 ET?,contradiction,contradiction,same_topic_no_trade,,same_topic_no_trade,same_topic_no_trade,unknown,unknown,,,,,,,,,needs_manual_review,ineligible,none,,not strategy eligible by default,"[{""code"": ""manual_review_band"", ""detail"": ""final_confidence=0.526 in review band""}]","[{""code"": ""coverage_insufficient_a"", ""detail"": ""market_a coverage_score=0.50""}, {""code"": ""coverage_insufficient_b"", ""detail"": ""market_b coverage_score=0.50""}]",0.5256
