decision_id,relationship_id,context_space_id,context_rule_ids_json,previous_validation_status,new_validation_status,previous_strategy_eligibility,new_strategy_eligibility,strategy_lane,decision_reason,evidence_summary,schema_version,ingested_ts_ms,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_subtype,relationship_family
c8978c0244e5b69ec6ca32c7ed1a6def,2f3b8169d39e895ea88fe78bb95bfcea,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569338,569362,Will Gustavo Bolívar win the 1st round of the 2026 Colombian presidential election?,Will Gustavo Bolívar win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
df770fca0054ccbd5aab0a397781baad,3214ebdab19448d4deb5f5ac27f636d2,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569347,569372,Will Juan Carlos Pinzón win the 1st round of the 2026 Colombian presidential election?,Will Juan Carlos Pinzón win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
b079794d57ccc095fbaf7ba811dd81a9,3a3c613e7cb2d99759542047d399cfb4,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447575,569332,569356,Will Vicky Dávila win the 1st round of the 2026 Colombian presidential election?,Will Vicky Dávila win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
d37d8ff2fcfe7b53fca64b296d3a58bb,46f491500c8d3a55a6d6a065fd1ddd1e,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569336,569360,Will Juan Daniel Oviedo win the 1st round of the 2026 Colombian presidential election?,Will Juan Daniel Oviedo win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
a2c1c5d4c28df0ee7afd4958d09e7719,5dc05ffe4bb533b54ab4caf1b113b7f2,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447573,569334,569358,Will Claudia López win the 1st round of the 2026 Colombian presidential election?,Will Claudia López win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
1b03a5bb4d192553f8acd6d55e9ab2b0,a15ce15124782057519af731455cc627,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569342,569373,Will Paloma Valencia win the 1st round of the 2026 Colombian presidential election?,Will Paloma Valencia win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
df0d87cf37273183c4864acca6f8b44e,a76d8c40b710308fead83c35e873b19f,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447573,569345,569370,Will Roy Barreras win the 1st round of the 2026 Colombian presidential election?,Will Roy Barreras win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
014f861f83893daed59c8a041da161db,badeea356251d7af400bffb82399e31b,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447583,569349,569371,Will Enrique Peñalosa win the 1st round of the 2026 Colombian presidential election?,Will Enrique Peñalosa win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
98a82017fa9abdd3f9fd11ed2df4fc65,bc339e3c53d811630394178f2d69ce59,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447585,569335,569359,Will David Luna Sánchez win the 1st round of the 2026 Colombian presidential election?,Will David Luna Sánchez win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
857c52133782b29d4c670be54fa664b7,cd1b23c2db2b5e4ee6b4318189cbed90,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569340,569364,Will Juan Manuel Galán win the 1st round of the 2026 Colombian presidential election?,Will Juan Manuel Galán win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
d32460cea98c91f6b5951f1d3d4a30b3,ce10f57c2a8d9700af8f9633f13eca01,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447574,569341,569365,Will Germán Vargas Lleras win the 1st round of the 2026 Colombian presidential election?,Will Germán Vargas Lleras win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
2cd872b383c643f96f2da80c371cae23,cf0e55c8f3e6db3e2750ce4f188515ae,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447575,569333,569357,Will Luis Gilberto Murillo win the 1st round of the 2026 Colombian presidential election?,Will Luis Gilberto Murillo win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
2821c28c81eaa3459d6819d71049d96a,d9cbd7dea520c7efa0c9ebae24784c97,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447575,569344,569366,Will Abelardo de la Espriella win the 1st round of the 2026 Colombian presidential election?,Will Abelardo de la Espriella  win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
1197c3876e7b3679f7714b0a61092e28,e1872765035ad88c7f40da4b8df7da14,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447573,569346,569369,Will Daniel Quintero win the 1st round of the 2026 Colombian presidential election?,Will Daniel Quintero win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
38ecaba18ca6f64d5bce36b0478a7a91,f9e9da8c2d0b6f0481a0ecaff08ed685,colombia_2026_presidential_election,[],needs_manual_review,needs_manual_review,ineligible,ineligible,research_only,missing required world-context rule,,1,1778587447577,569339,569363,Will Sergio Fajardo win the 1st round of the 2026 Colombian presidential election?,Will Sergio Fajardo win the 2026 Colombian presidential election?,rejected,first_round_to_general_dependency,
6f90947c6d4fa7b9a31d4bcf08e393ff,05ae0794a6a689f86dd1441ff2df26ec,premier_league_finish_position,"[""epl_world_exact_topn_v1"", ""epl_world_exact_exclusive_v1"", ""epl_terms_same_scope_v1""]",rejected,needs_manual_review,ineligible,ineligible,exploratory_context_unreviewed,context exists but still needs review,exact_finish_implies_top_n:pending:0.90; exact_finish_positions_mutually_exclusive:pending:0.90; market_terms_exact_finish_scope:pending:0.75,1,1778587447579,572765,582134,Will Liverpool finish in 3rd place in the 2025-26 English Premier League?,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,rejected,team_exact_finish_position_vs_team_top_n_finish,
f9b819625ddaf7355cf70004534bfa60,4d8e3f1dfa6859ea0a922dd6e3d3c163,premier_league_finish_position,"[""epl_world_exact_topn_v1"", ""epl_world_exact_exclusive_v1"", ""epl_terms_same_scope_v1""]",rejected,needs_manual_review,ineligible,ineligible,exploratory_context_unreviewed,context exists but still needs review,exact_finish_implies_top_n:pending:0.90; exact_finish_positions_mutually_exclusive:pending:0.90; market_terms_exact_finish_scope:pending:0.75,1,1778587447591,572770,582138,Will Manchester United finish in 3rd place in the 2025-26 English Premier League?,Will Manchester United finish in the top 4 of the EPL 2025–26 standings?,rejected,team_exact_finish_position_vs_team_top_n_finish,
02dec803a3fabd5a1a28f717b62f04e4,866a3f7cda29a5d81f552e8d3bf9ee2e,premier_league_finish_position,"[""epl_world_exact_topn_v1"", ""epl_world_exact_exclusive_v1"", ""epl_terms_same_scope_v1""]",rejected,needs_manual_review,ineligible,ineligible,exploratory_context_unreviewed,context exists but still needs review,exact_finish_implies_top_n:pending:0.90; exact_finish_positions_mutually_exclusive:pending:0.90; market_terms_exact_finish_scope:pending:0.75,1,1778587447602,572772,582139,Will Aston Villa finish in 3rd place in the 2025-26 English Premier League?,Will Aston Villa finish in the top 4 of the EPL 2025–26 standings?,rejected,team_exact_finish_position_vs_team_top_n_finish,
3515a569fd06372dc5534683ed6dba96,2fc7c0bfadee801d685006086656d299,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588,540820,540843,Trump out as President before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
e129d9868337f0ce1ac8825cfc4955f7,323a222f5b4e83bb756ed5a6e3c939a1,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447790,540819,573647,Will Jesus Christ return before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,same_reference_clock_only,
0d71b2567a9c9a404ed99049bbc01f26,3408dfe3c22c0d8ccb013839c62ae2aa,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",rejected,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447792,540844,573647,Will bitcoin hit $1m before GTA VI?,Will GPT-6 be released before GTA VI?,rejected,same_reference_clock_only,
c64d7a9234bc17581e9a543ec0861665,3510fa79844874170bc5aa27001fd3f9,same_reference_clock_before_gta_vi,"[""same_reference_not_tradeable_v1""]",needs_manual_review,needs_manual_review,ineligible,ineligible,analysis_only,context rule explicitly keeps this relationship analysis-only,shared_reference_not_tradeable:pending:0.90,1,1778587447588,540818,540843,New Playboi Carti Album before GTA VI?,Will China invades Taiwan before GTA VI?,same_reference_clock,same_reference_clock_only,temporal
