credibility_label,fee_bps,lane,min_net_edge,min_relationship_confidence,net_pnl_usdc,slippage_bps,trades_executed
data_insufficient,0,strict_context_valid,0.005,0.5,0,25,0
data_insufficient,0,strict_context_valid,0.005,0.65,0,25,0
data_insufficient,0,strict_context_valid,0.005,0.8,0,25,0
data_insufficient,0,strict_context_valid,0.01,0.5,0,25,0
data_insufficient,0,strict_context_valid,0.01,0.65,0,25,0
data_insufficient,0,strict_context_valid,0.01,0.8,0,25,0
data_insufficient,0,strict_context_valid,0.02,0.5,0,25,0
data_insufficient,0,strict_context_valid,0.02,0.65,0,25,0
data_insufficient,0,strict_context_valid,0.02,0.8,0,25,0
data_insufficient,0,strict_context_valid,0.05,0.5,0,25,0
data_insufficient,0,strict_context_valid,0.05,0.65,0,25,0
data_insufficient,0,strict_context_valid,0.05,0.8,0,25,0
data_insufficient,25,strict_context_valid,0.005,0.5,0,25,0
data_insufficient,25,strict_context_valid,0.005,0.65,0,25,0
data_insufficient,25,strict_context_valid,0.005,0.8,0,25,0
data_insufficient,25,strict_context_valid,0.01,0.5,0,25,0
data_insufficient,25,strict_context_valid,0.01,0.65,0,25,0
data_insufficient,25,strict_context_valid,0.01,0.8,0,25,0
data_insufficient,25,strict_context_valid,0.02,0.5,0,25,0
data_insufficient,25,strict_context_valid,0.02,0.65,0,25,0
data_insufficient,25,strict_context_valid,0.02,0.8,0,25,0
data_insufficient,25,strict_context_valid,0.05,0.5,0,25,0
data_insufficient,25,strict_context_valid,0.05,0.65,0,25,0
data_insufficient,25,strict_context_valid,0.05,0.8,0,25,0
data_insufficient,50,strict_context_valid,0.005,0.5,0,25,0
data_insufficient,50,strict_context_valid,0.005,0.65,0,25,0
data_insufficient,50,strict_context_valid,0.005,0.8,0,25,0
data_insufficient,50,strict_context_valid,0.01,0.5,0,25,0
data_insufficient,50,strict_context_valid,0.01,0.65,0,25,0
data_insufficient,50,strict_context_valid,0.01,0.8,0,25,0
data_insufficient,50,strict_context_valid,0.02,0.5,0,25,0
data_insufficient,50,strict_context_valid,0.02,0.65,0,25,0
data_insufficient,50,strict_context_valid,0.02,0.8,0,25,0
data_insufficient,50,strict_context_valid,0.05,0.5,0,25,0
data_insufficient,50,strict_context_valid,0.05,0.65,0,25,0
