market_id,token_id,question,active,closed,end_date_ms
553848,1755198236548058730692725634969806667163093356894670716555961840777456036471,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
540817,98022490269692409998126496127597032490334070080325855126491859374983463996227,New Rihanna Album before GTA VI?,True,False,2026-07-31T12:00:00Z
540819,90435811253665578014957380826505992530054077692143838383981805324273750424057,Will Jesus Christ return before GTA VI?,True,False,2026-07-31T12:00:00Z
540881,8441400852834915183759801017793514978104486628517653995211751018945988243154,GTA VI released before June 2026?,True,False,2026-05-31T12:00:00Z
553824,79397003434468715775480922117285203652110865791390656395657957066470661722480,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
540843,21695138873211375451055566770107682325494206727818897067665810321709249824909,Will China invades Taiwan before GTA VI?,True,False,2026-07-31T12:00:00Z
553843,89876650777103845660381011502618435196005005316371719080379226306122186643898,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
553829,68803485030073596962715540294172682212192134248970512695855620898253368033218,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
553838,52393600221905688380980180540161090876971894580569515967716227210336633318551,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
540844,105267568073659068217311993901927962476298440625043565106676088842803600775810,Will bitcoin hit $1m before GTA VI?,True,False,2026-07-31T12:00:00Z
553849,114248353339288476395516704859280406139740194553592209059241667781908210476009,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
540818,88275040060084773376557187972215267513049848642895776801789297917961077894224,New Playboi Carti Album before GTA VI?,True,False,2026-07-31T12:00:00Z
553828,101738487887518832481587379955535423775326921556438741919099866785354159699479,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,True,False,2026-06-30T00:00:00Z
540820,108999723207897941876452935557011604067917389120996960199512481363958770540884,Trump out as President before GTA VI?,True,False,2026-07-31T12:00:00Z
