relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
a237a82eb5e49e4258fb6f32e2882c1b,561229,561240,rejected,,rejected,eligible,Will JD Vance win the 2028 US Presidential Election?,Will Stephen Smith win the 2028 US Presidential Election?,0.4946,0.1,1.0,,,,
cf955cb37683a77c4d85462540b7130f,561229,561256,rejected,,rejected,eligible,Will JD Vance win the 2028 US Presidential Election?,Will Zohran Mamdani win the 2028 US Presidential Election?,0.4946,0.1,1.0,,,,
d6152646920368053919880ef9cc0e99,561240,561256,rejected,,rejected,eligible,Will Stephen Smith win the 2028 US Presidential Election?,Will Zohran Mamdani win the 2028 US Presidential Election?,0.4829,0.1,1.0,,,,
55c8d7a3a3335be7035a440e6f09e3b1,553829,553849,rejected,,rejected,ineligible,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,0.481,0.1,1.0,,,,
da08936403dcb16544112584ec0c6470,553824,553843,rejected,,rejected,ineligible,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,0.4465,0.1,1.0,,,,
264e1eeed6a160fb8c1849d99ff66811,553824,553843,rejected,,rejected,,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,0.4447,0.1,1.0,,,,
293e63d1c23f105dfa038c44204c8686,561229,561230,rejected,,rejected,eligible,Will JD Vance win the 2028 US Presidential Election?,Will Gavin Newsom win the 2028 US Presidential Election?,0.4348,0.1,1.0,,,,
d93e0a270f440f3425306cfd02111b7f,561230,561238,rejected,,rejected,eligible,Will Gavin Newsom win the 2028 US Presidential Election?,Will Glenn Youngkin win the 2028 US Presidential Election?,0.4312,0.1,1.0,,,,
56a06ab41442602fee005f0e0f6a78ef,561229,561238,rejected,,rejected,eligible,Will JD Vance win the 2028 US Presidential Election?,Will Glenn Youngkin win the 2028 US Presidential Election?,0.4282,0.1,1.0,,,,
91906d12948e2cf92e9eeb531907db31,561230,561256,rejected,,rejected,eligible,Will Gavin Newsom win the 2028 US Presidential Election?,Will Zohran Mamdani win the 2028 US Presidential Election?,0.4282,0.1,1.0,,,,
6cf51ca51de11d5500cc7b081f666737,561230,561240,rejected,,rejected,eligible,Will Gavin Newsom win the 2028 US Presidential Election?,Will Stephen Smith win the 2028 US Presidential Election?,0.4282,0.1,1.0,,,,
eb66b083f30999da745925718af3f4e9,553824,553848,rejected,,rejected,ineligible,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,0.4231,0.1,1.0,,,,
aaa7cdf94f0c0a0ba502fcfd80834b8f,553843,553848,rejected,,rejected,ineligible,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,0.4231,0.1,1.0,,,,
f971424445442c9ba6950cd4501d9656,561238,561240,rejected,,rejected,eligible,Will Glenn Youngkin win the 2028 US Presidential Election?,Will Stephen Smith win the 2028 US Presidential Election?,0.4221,0.1,1.0,,,,
