relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
e1872765035ad88c7f40da4b8df7da14,569346,569369,inverse,contradiction,needs_manual_review,ineligible,Will Daniel Quintero win the 1st round of the 2026 Colombian presidential election?,Will Daniel Quintero win the 2026 Colombian presidential election?,0.5618,1.0,0.7,,,,
a6edab19118abe85173fa9a8b0f4cbe4,553856,564210,inverse,contradiction,needs_manual_review,ineligible,Will the Oklahoma City Thunder win the 2026 NBA Finals?,Will the Oklahoma City Thunder win the NBA Western Conference Finals?,0.5571,0.8,0.7,,,,
a76d8c40b710308fead83c35e873b19f,569345,569370,inverse,contradiction,needs_manual_review,ineligible,Will Roy Barreras win the 1st round of the 2026 Colombian presidential election?,Will Roy Barreras win the 2026 Colombian presidential election?,0.5565,1.0,0.7,,,,
5dc05ffe4bb533b54ab4caf1b113b7f2,569334,569358,contradiction,contradiction,needs_manual_review,ineligible,Will Claudia López win the 1st round of the 2026 Colombian presidential election?,Will Claudia López win the 2026 Colombian presidential election?,0.554,1.0,0.7,,,,
cd1b23c2db2b5e4ee6b4318189cbed90,569340,569364,inverse,contradiction,needs_manual_review,ineligible,Will Juan Manuel Galán win the 1st round of the 2026 Colombian presidential election?,Will Juan Manuel Galán win the 2026 Colombian presidential election?,0.5538,0.8,0.7,,,,
2f3b8169d39e895ea88fe78bb95bfcea,569338,569362,contradiction,contradiction,needs_manual_review,ineligible,Will Gustavo Bolívar win the 1st round of the 2026 Colombian presidential election?,Will Gustavo Bolívar win the 2026 Colombian presidential election?,0.5314,1.0,0.7,,,,
a15ce15124782057519af731455cc627,569342,569373,contradiction,contradiction,needs_manual_review,ineligible,Will Paloma Valencia win the 1st round of the 2026 Colombian presidential election?,Will Paloma Valencia win the 2026 Colombian presidential election?,0.5306,1.0,0.7,,,,
cc376429463d78167ad174e43317b2d3,559690,562003,contradiction,contradiction,needs_manual_review,eligible,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,0.5283,0.775,1.0,,,,
ce10f57c2a8d9700af8f9633f13eca01,569341,569365,contradiction,contradiction,needs_manual_review,ineligible,Will Germán Vargas Lleras win the 1st round of the 2026 Colombian presidential election?,Will Germán Vargas Lleras win the 2026 Colombian presidential election?,0.5267,0.8,0.7,,,,
46f491500c8d3a55a6d6a065fd1ddd1e,569336,569360,contradiction,contradiction,needs_manual_review,ineligible,Will Juan Daniel Oviedo win the 1st round of the 2026 Colombian presidential election?,Will Juan Daniel Oviedo win the 2026 Colombian presidential election?,0.5229,1.0,0.7,,,,
3214ebdab19448d4deb5f5ac27f636d2,569347,569372,contradiction,contradiction,needs_manual_review,ineligible,Will Juan Carlos Pinzón win the 1st round of the 2026 Colombian presidential election?,Will Juan Carlos Pinzón win the 2026 Colombian presidential election?,0.5143,0.8,0.7,,,,
cf0e55c8f3e6db3e2750ce4f188515ae,569333,569357,inverse,contradiction,needs_manual_review,ineligible,Will Luis Gilberto Murillo win the 1st round of the 2026 Colombian presidential election?,Will Luis Gilberto Murillo win the 2026 Colombian presidential election?,0.4982,0.8,0.7,,,,
3a3c613e7cb2d99759542047d399cfb4,569332,569356,contradiction,contradiction,needs_manual_review,ineligible,Will Vicky Dávila win the 1st round of the 2026 Colombian presidential election?,Will Vicky Dávila win the 2026 Colombian presidential election?,0.4874,0.8,0.7,,,,
d9cbd7dea520c7efa0c9ebae24784c97,569344,569366,contradiction,contradiction,needs_manual_review,ineligible,Will Abelardo de la Espriella win the 1st round of the 2026 Colombian presidential election?,Will Abelardo de la Espriella  win the 2026 Colombian presidential election?,0.4853,0.8,0.7,,,,
f9e9da8c2d0b6f0481a0ecaff08ed685,569339,569363,contradiction,contradiction,needs_manual_review,ineligible,Will Sergio Fajardo win the 1st round of the 2026 Colombian presidential election?,Will Sergio Fajardo win the 2026 Colombian presidential election?,0.4833,0.8,0.7,,,,
4aa9b9577769abc6b2617e899bc95949,562829,562830,inverse,contradiction,needs_manual_review,ineligible,"2026 Balance of Power: D Senate, R House","2026 Balance of Power: R Senate, D House",0.4793,0.76,1.0,,,,
66d4cf169a9d205b8a138f1e89bf60be,572122,572133,inverse,contradiction,needs_manual_review,ineligible,Jack Lowdon announced as next James Bond?,No one announced as next James Bond?,0.475,1.0,1.0,,,,
05ae0794a6a689f86dd1441ff2df26ec,572765,582134,inverse,contradiction,needs_manual_review,ineligible,Will Liverpool finish in 3rd place in the 2025-26 English Premier League?,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,0.4653,0.8,1.0,,,,
b153a4cab8121e78d3647d0eb33bf4f3,572122,572125,same_topic_no_trade,unknown,needs_manual_review,ineligible,Jack Lowdon announced as next James Bond?,Josh O'Connor announced as next James Bond?,0.4529,0.55,1.0,,,,
aa2bc16b4fc2c83277a61e59e3073296,572121,572122,same_topic_no_trade,unknown,needs_manual_review,ineligible,Callum Turner announced as next James Bond?,Jack Lowdon announced as next James Bond?,0.4529,0.55,1.0,,,,
8b937b1b819dbf225c72414c3b5653d9,559686,561252,contradiction,contradiction,needs_manual_review,eligible,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,0.4517,0.8,1.0,,,,
3496b04d1407bfa617b8d7e95b3dfc9a,566188,572734,inverse,contradiction,needs_manual_review,ineligible,Will Manchester City win the 2025–26 English Premier League?,Will Manchester City finish in 2nd place in the 2025-26 English Premier League?,0.4386,0.8,1.0,,,,
badeea356251d7af400bffb82399e31b,569349,569371,inverse,contradiction,needs_manual_review,ineligible,Will Enrique Peñalosa win the 1st round of the 2026 Colombian presidential election?,Will Enrique Peñalosa win the 2026 Colombian presidential election?,0.4368,1.0,0.7,,,,
5910a43939d7ba6fe59cf6b80718e5c3,553866,564218,inverse,contradiction,needs_manual_review,ineligible,Will the San Antonio Spurs win the 2026 NBA Finals?,Will the San Antonio Spurs win the NBA Western Conference Finals?,0.4333,0.8,0.7,,,,
5cbaac0833c565c415abb666711492a7,553863,564213,inverse,contradiction,needs_manual_review,ineligible,Will the Los Angeles Lakers win the 2026 NBA Finals?,Will the Los Angeles Lakers win the NBA Western Conference Finals?,0.4333,0.8,0.7,,,,
bc339e3c53d811630394178f2d69ce59,569335,569359,inverse,contradiction,needs_manual_review,ineligible,Will David Luna Sánchez win the 1st round of the 2026 Colombian presidential election?,Will David Luna Sánchez win the 2026 Colombian presidential election?,0.4275,1.0,0.7,,,,
8407c57015a96ee8629b28c86de3e9b9,553857,564194,inverse,contradiction,needs_manual_review,ineligible,Will the Cleveland Cavaliers win the 2026 NBA Finals?,Will the Cleveland Cavaliers win the NBA Eastern Conference Finals?,0.4273,0.8,0.7,,,,
c59ce4101206b392aeae82caa975a822,553859,564214,inverse,contradiction,needs_manual_review,ineligible,Will the Minnesota Timberwolves win the 2026 NBA Finals?,Will the Minnesota Timberwolves win the NBA Western Conference Finals?,0.4273,0.8,0.7,,,,
c6bf427f13b8dd37a99d4208c1976867,562828,562829,inverse,contradiction,needs_manual_review,ineligible,"2026 Balance of Power: D Senate, D House","2026 Balance of Power: D Senate, R House",0.424,0.76,1.0,,,,
51207470d2d1eaeb030793374c6e41bf,553858,564195,inverse,contradiction,needs_manual_review,ineligible,Will the New York Knicks win the 2026 NBA Finals?,Will the New York Knicks win the NBA Eastern Conference Finals?,0.4231,0.8,0.7,,,,
2fc7c0bfadee801d685006086656d299,540820,540843,same_reference_clock,temporal,needs_manual_review,ineligible,Trump out as President before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
656c1df5bb31997622521bc9e9f0adc6,540819,540843,same_reference_clock,temporal,needs_manual_review,ineligible,Will Jesus Christ return before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
a38a46b0aa9e43da32288b6491f29802,540843,540844,same_reference_clock,temporal,needs_manual_review,ineligible,Will China invades Taiwan before GTA VI?,Will bitcoin hit $1m before GTA VI?,0.42,0.0,1.0,,,,
