relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
e1872765035ad88c7f40da4b8df7da14,569346,569369,rejected,,needs_manual_review,ineligible,Will Daniel Quintero win the 1st round of the 2026 Colombian presidential election?,Will Daniel Quintero win the 2026 Colombian presidential election?,0.5618,1.0,0.7,,,,
a6edab19118abe85173fa9a8b0f4cbe4,553856,564210,inverse,contradiction,needs_manual_review,ineligible,Will the Oklahoma City Thunder win the 2026 NBA Finals?,Will the Oklahoma City Thunder win the NBA Western Conference Finals?,0.5571,0.8,0.7,,,,
a76d8c40b710308fead83c35e873b19f,569345,569370,rejected,,needs_manual_review,ineligible,Will Roy Barreras win the 1st round of the 2026 Colombian presidential election?,Will Roy Barreras win the 2026 Colombian presidential election?,0.5565,1.0,0.7,,,,
5dc05ffe4bb533b54ab4caf1b113b7f2,569334,569358,rejected,,needs_manual_review,ineligible,Will Claudia López win the 1st round of the 2026 Colombian presidential election?,Will Claudia López win the 2026 Colombian presidential election?,0.554,1.0,0.7,,,,
cd1b23c2db2b5e4ee6b4318189cbed90,569340,569364,rejected,,needs_manual_review,ineligible,Will Juan Manuel Galán win the 1st round of the 2026 Colombian presidential election?,Will Juan Manuel Galán win the 2026 Colombian presidential election?,0.5538,0.8,0.7,,,,
2f3b8169d39e895ea88fe78bb95bfcea,569338,569362,rejected,,needs_manual_review,ineligible,Will Gustavo Bolívar win the 1st round of the 2026 Colombian presidential election?,Will Gustavo Bolívar win the 2026 Colombian presidential election?,0.5314,1.0,0.7,,,,
a15ce15124782057519af731455cc627,569342,569373,rejected,,needs_manual_review,ineligible,Will Paloma Valencia win the 1st round of the 2026 Colombian presidential election?,Will Paloma Valencia win the 2026 Colombian presidential election?,0.5306,1.0,0.7,,,,
cc376429463d78167ad174e43317b2d3,559690,562003,rejected,,needs_manual_review,ineligible,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,0.5283,0.775,1.0,,,,
ce10f57c2a8d9700af8f9633f13eca01,569341,569365,rejected,,needs_manual_review,ineligible,Will Germán Vargas Lleras win the 1st round of the 2026 Colombian presidential election?,Will Germán Vargas Lleras win the 2026 Colombian presidential election?,0.5267,0.8,0.7,,,,
59ee0871ba2cbc59237b9ef1654b92a2,593983,593984,contradiction,contradiction,needs_manual_review,ineligible,Will Trump endorse John Cornyn for TX-Sen by Nov 2 2026 ET?,Will Trump endorse Ken Paxton for TX-Sen by Nov 2 2026 ET?,0.5256,0.85,1.0,,,,
46f491500c8d3a55a6d6a065fd1ddd1e,569336,569360,rejected,,needs_manual_review,ineligible,Will Juan Daniel Oviedo win the 1st round of the 2026 Colombian presidential election?,Will Juan Daniel Oviedo win the 2026 Colombian presidential election?,0.5229,1.0,0.7,,,,
3214ebdab19448d4deb5f5ac27f636d2,569347,569372,rejected,,needs_manual_review,ineligible,Will Juan Carlos Pinzón win the 1st round of the 2026 Colombian presidential election?,Will Juan Carlos Pinzón win the 2026 Colombian presidential election?,0.5143,0.8,0.7,,,,
cf0e55c8f3e6db3e2750ce4f188515ae,569333,569357,rejected,,needs_manual_review,ineligible,Will Luis Gilberto Murillo win the 1st round of the 2026 Colombian presidential election?,Will Luis Gilberto Murillo win the 2026 Colombian presidential election?,0.4982,0.8,0.7,,,,
3a3c613e7cb2d99759542047d399cfb4,569332,569356,rejected,,needs_manual_review,ineligible,Will Vicky Dávila win the 1st round of the 2026 Colombian presidential election?,Will Vicky Dávila win the 2026 Colombian presidential election?,0.4874,0.8,0.7,,,,
d9cbd7dea520c7efa0c9ebae24784c97,569344,569366,rejected,,needs_manual_review,ineligible,Will Abelardo de la Espriella win the 1st round of the 2026 Colombian presidential election?,Will Abelardo de la Espriella  win the 2026 Colombian presidential election?,0.4853,0.8,0.7,,,,
f9e9da8c2d0b6f0481a0ecaff08ed685,569339,569363,rejected,,needs_manual_review,ineligible,Will Sergio Fajardo win the 1st round of the 2026 Colombian presidential election?,Will Sergio Fajardo win the 2026 Colombian presidential election?,0.4833,0.8,0.7,,,,
