relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
24f5c991d688f19a591c87b1a28a9a2a,559663,559671,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Zohran Mamdani,2028_democratic_presidential_nomination
dd8f0d547bcf2b9647b862f54ec03e7e,559663,559677,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Hillary Clinton win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Hillary Clinton,2028_democratic_presidential_nomination
1ec734d433b3d23b92a93a78687d05ce,559663,559678,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Liz Cheney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Liz Cheney,2028_democratic_presidential_nomination
2ef1eac418a326df839f52db535ab312,559663,559681,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will LeBron James win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,LeBron James,2028_democratic_presidential_nomination
80d2307207f6c2aab67fd37689ad9d81,559663,559683,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will George Clooney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,George Clooney,2028_democratic_presidential_nomination
699603f55f8a6ae572ab5762f3650435,559663,559684,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Chelsea Clinton,2028_democratic_presidential_nomination
6406c632783465b657bc61571ed25489,559663,559686,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Dwayne 'The Rock' Johnson,2028_democratic_presidential_nomination
bd723673af58bb8e84392930f2db93bd,559663,559690,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Kim Kardashian,2028_democratic_presidential_nomination
6be6a79d32a399c42d171b11026193d3,559663,559692,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,Jasmine Crockett,2028_democratic_presidential_nomination
e0166c124646c88126633e139b12e559,559663,559695,mutually_exclusive_category,category,accepted,eligible,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,Will James Talarico win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,J.B. Pritzker,James Talarico,2028_democratic_presidential_nomination
f9a3a55ae0fe3db13c6c6ef3f620c21b,559664,559666,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Tim Walz win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Tim Walz,2028_democratic_presidential_nomination
bc0df109a56f2652543141cd171b1401,559664,559667,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Michelle Obama win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Michelle Obama,2028_democratic_presidential_nomination
ace30584469cff3f09dd38f9eecd90a6,559664,559669,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Rahm Emanuel,2028_democratic_presidential_nomination
7cbb0c4c1527ba30e40c541a09acf7db,559664,559671,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Zohran Mamdani,2028_democratic_presidential_nomination
f947fe6ffd0ca153ba494bcb83f3d5fd,559664,559677,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Hillary Clinton win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Hillary Clinton,2028_democratic_presidential_nomination
0bfed1102544c0b5c1004e56ae114d57,559664,559678,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will Liz Cheney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,Liz Cheney,2028_democratic_presidential_nomination
de90120a8d591983a1617bd1111c7e06,559664,559681,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will LeBron James win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,LeBron James,2028_democratic_presidential_nomination
564f960768d45b186a84130de4871749,559664,559683,mutually_exclusive_category,category,accepted,eligible,Will Raphael Warnock win the 2028 Democratic presidential nomination?,Will George Clooney win the 2028 Democratic presidential nomination?,0.7,0.0,1.0,,Raphael Warnock,George Clooney,2028_democratic_presidential_nomination
