accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,e236372c5a39,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,66e0b901727f,False,2,first_violation_only,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.7,0.01,True,795dbbf08a56,False,2,first_violation_only,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.01,True,c597f7a1d64f,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.35,0.0,True,25490484c32b,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.01,True,3a4829658027,False,2,first_violation_only,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.35,0.0,True,2a750890ecd1,False,2,first_violation_only,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,500.0,0.0,25.0,0.0,0.0,0.7,0.01,True,d70e61feb5be,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,10.0,0.0,100.0,0.0,5.0,0.0,0.0,0.7,0.01,True,e81acae2634b,False,2,reenter_after_cooldown,0.25,0.0,flat_small,0,0.0,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,60,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.7,0.01,True,4197b8995dab,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,50.0,0.0,100.0,0.0,25.0,0.0,0.0,0.35,0.01,True,92df584abf6a,False,2,first_violation_only,0.25,0.0,flat_small,50,0.25,2028_democrats_presidential_nomination,unknown,1,0.4
1,forward_fill_max_age,0.0,0,exploratory_only_not_credible,0,0,1.0,10.0,0.0,500.0,0.0,5.0,0.0,0.0,0.35,0.01,True,755eabbc18f3,False,2,reenter_after_cooldown,0.25,0.0,flat_small,50,0.05,2028_democrats_presidential_nomination,unknown,1,0.4
