accepted_trades,alignment_mode,avg_trade_pnl,cooldown_minutes,credibility_label,distinct_bundles_traded,distinct_relationships_traded,dominant_trade_share_of_pnl,exposure_used,max_drawdown,max_exposure_per_space,max_loss,max_stake_per_trade,max_win,median_trade_pnl,min_confidence,min_edge,overfit_warning,parameter_set_id,positive_after_costs,raw_fills,reentry_policy,robustness_score,simulated_pnl,sizing_policy,slippage_bps,slippage_paid,space_id,strategy_family,unique_violation_windows,win_rate
83,forward_fill_max_age,0.058196027108433725,0,exploratory_only_not_credible,0,3,0.5,100.0,0.9660540499999999,100.0,0.0,5.0,4.830270249999999,0.058196027108433725,0.35,0.01,False,e236372c5a39,True,166,reenter_after_cooldown,0.8808,4.8303,flat_small,50,4.15,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.09288981249999997,60,exploratory_only_not_credible,0,3,0.5,100.0,0.9660540499999999,100.0,0.0,5.0,4.830270249999999,0.09288981249999997,0.35,0.01,False,66e0b901727f,True,104,first_violation_only,0.8808,4.8303,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.08199212499999999,60,exploratory_only_not_credible,0,3,0.5,100.0,0.8527180999999999,100.0,0.0,5.0,4.263590499999999,0.08199212499999999,0.7,0.01,False,795dbbf08a56,True,104,first_violation_only,0.8808,4.2636,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.0863075,60,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,25.0,4.48799,0.0863075,0.7,0.01,False,c597f7a1d64f,True,104,first_violation_only,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.102925,60,exploratory_only_not_credible,0,3,0.5,100.0,1.0704200000000001,100.0,0.0,25.0,5.3521,0.102925,0.35,0.0,False,25490484c32b,True,104,first_violation_only,0.8808,5.3521,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.09777875,60,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,5.0,5.0844949999999995,0.09777875,0.35,0.01,False,3a4829658027,True,104,first_violation_only,0.8808,5.0845,flat_small,0,0.0,sports_championship_conference_progression,nesting,52,0.55
52,forward_fill_max_age,0.09777875,60,exploratory_only_not_credible,0,3,0.5,100.0,1.016899,100.0,0.0,5.0,5.0844949999999995,0.09777875,0.35,0.0,False,2a750890ecd1,True,104,first_violation_only,0.8808,5.0845,flat_small,50,2.6,sports_championship_conference_progression,nesting,52,0.55
83,forward_fill_max_age,0.054072168674698794,0,exploratory_only_not_credible,0,3,0.5,500.0,0.897598,500.0,0.0,25.0,4.48799,0.054072168674698794,0.7,0.01,False,d70e61feb5be,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
83,forward_fill_max_age,0.054072168674698794,60,exploratory_only_not_credible,0,3,0.5,100.0,0.897598,100.0,0.0,5.0,4.48799,0.054072168674698794,0.7,0.01,False,e81acae2634b,True,166,reenter_after_cooldown,0.8808,4.488,flat_small,0,0.0,sports_championship_conference_progression,nesting,83,0.55
52,forward_fill_max_age,0.08199212499999999,60,exploratory_only_not_credible,0,3,0.5,100.0,0.8527180999999999,100.0,0.0,25.0,4.263590499999999,0.08199212499999999,0.7,0.01,False,4197b8995dab,True,104,first_violation_only,0.8808,4.2636,flat_small,50,13.0,sports_championship_conference_progression,nesting,52,0.55
