space_id,space_name,domain,space_attribution_status,strategy_families_available,market_count,relationship_count,strict_relationship_count,exploratory_relationship_count,diagnostic_only_relationship_count,price_history_coverage_pct,aligned_tick_count,gross_violation_count,net_violation_count,accepted_trade_count,raw_fill_count,unique_violation_window_count,independent_violation_windows,distinct_relationships_traded,distinct_bundles_traded,simulated_pnl,average_trade_return_pct,median_trade_return_pct,total_trade_cost,total_return_pct,max_drawdown,total_slippage,avg_edge,median_edge,best_edge,worst_trade_pnl,best_trade_pnl,primary_blocker,secondary_blocker,suspicious_flag_count,accepted_trade_suspicious_flag_count,completeness_status,known_total_candidates,dominant_relationship_share_of_pnl,space_grade,recommended_next_action,dominant_trade_share_of_pnl,gross_opportunity_rows,integrity_warning,net_opportunity_rows,raw_replay_fills
2026_us_presidential_election_candidate_winner,2026_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,272,0,241,0,1.0,0,11,11,11,22,1,1,1,0,6.599999999999998,0.05999999999999999,0.06,110.0,0.059999999999999984,0.0,0.5500000000000002,0.05999999999999999,0.06,0.07,0.3,0.3,infrastructure,,0,0,unknown,,1.0,F_OVERFIT_ONE_OFF,Do not optimise — single-relationship PnL is statistically unreliable.,0.0,11,,11,22
sports_championship_conference_progression,sports_championship_conference_progression,,context_space,nesting,0,0,0,0,0,0.0,0,483,97,52,104,34,34,3,0,5.980000000000009,0.0115,0.0015,520.0,0.011500000000000017,0.0,2.5999999999999948,0.0115,0.0015,0.04,0.0025,0.15,economic_or_replay,,0,0,unknown,,0.944816053511704,UNGRADED,Insufficient evidence to grade — run a backtest on this space.,0.0,483,,97,104
llm_hyp_540881_559651_temporal_ordering_pair,llm_hyp_540881_559651_temporal_ordering_pair,,outcome_space,hypothesis_research,0,1,0,1,0,1.0,0,84,84,20,40,1,1,1,0,2.6,0.013000000000000001,0.005,200.0,0.013000000000000001,0.0,1.0000000000000004,0.013000000000000001,0.005,0.04,0.025,0.125,economic_or_replay,,0,0,unknown,,1.0,F_OVERFIT_ONE_OFF,Do not optimise — single-relationship PnL is statistically unreliable.,0.0,84,,84,40
unknown_year_us_presidential_election_candidate_winner,unknown_year_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,81,0,81,0,0.9,0,60,50,20,40,2,2,1,0,2.000000000000001,0.01,0.01,200.0,0.010000000000000004,0.0,1.0000000000000004,0.01,0.01,0.025,0.05,0.05,economic_or_replay,,0,0,unknown,,1.0,F_OVERFIT_ONE_OFF,Do not optimise — single-relationship PnL is statistically unreliable.,0.0,60,,50,40
sports_ranking_finish_position,sports_ranking_finish_position,,context_space,nesting,0,0,0,0,0,0.0,0,217,191,20,40,1,1,1,0,0.0,0.0,0.0,200.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.03,0.0,0.0,economic_or_replay,,0,0,unknown,,0.0,UNGRADED,Insufficient evidence to grade — run a backtest on this space.,0.0,217,,191,40
2020_us_presidential_election_candidate_winner,2020_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,6,0,6,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2022_republicans_presidential_nomination,2022_republicans_presidential_nomination,,outcome_space,pairwise_mutual_exclusion,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2022_us_presidential_election_candidate_winner,2022_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2025_us_presidential_election_candidate_winner,2025_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,66,0,66,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,infrastructure,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2026_colombian_presidential_election_candidate_winner,2026_colombian_presidential_election_candidate_winner,,outcome_space,none;pairwise_mutual_exclusion,0,235,0,161,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_colombian_presidential_election_first_round,2026_colombian_presidential_election_first_round,,outcome_space,none;pairwise_mutual_exclusion,0,317,0,101,139,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_korea_dp_win_the_2026_south_korean_local_elections_presidential_election_party_winner,2026_korea_dp_win_the_2026_south_korean_local_elections_presidential_election_party_winner,,outcome_space,none,0,3,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_local_government_elections_in_the_2026_taiwan_local_elections_presidential_election,2026_local_government_elections_in_the_2026_taiwan_local_elections_presidential_election,,outcome_space,none,0,2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
2026_local_government_elections_in_the_2026_taiwan_local_elections_presidential_election_candidate_winner,2026_local_government_elections_in_the_2026_taiwan_local_elections_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,2,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
2026_nhl_stanley_cup,2026_nhl_stanley_cup,,outcome_space,pairwise_mutual_exclusion,0,28,0,18,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
2026_will_aaron_ford_win_the_2026_nevada_governor_democratic_primary_election_presidential_election_candidate_winner,2026_will_aaron_ford_win_the_2026_nevada_governor_democratic_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_adam_crum_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,2026_will_adam_crum_win_the_2026_alaska_governor_election_presidential_election_candidate_winner,,outcome_space,none,0,48,0,0,48,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_adam_miller_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,2026_will_adam_miller_win_the_2026_los_angeles_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,35,0,0,35,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_afd_win_the_most_seats_in_the_2026_berlin_state_elections_presidential_election_candidate_winner,2026_will_afd_win_the_most_seats_in_the_2026_berlin_state_elections_presidential_election_candidate_winner,,outcome_space,none,0,6,0,0,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_ahn_cheol_soo_win_the_2026_gyeonggi_province_gubernatorial_election_presidential_election_candidate_winner,2026_will_ahn_cheol_soo_win_the_2026_gyeonggi_province_gubernatorial_election_presidential_election_candidate_winner,,outcome_space,none,0,21,0,0,21,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_ahn_cheol_soo_win_the_2026_seoul_mayoral_election_presidential_election_candidate_winner,2026_will_ahn_cheol_soo_win_the_2026_seoul_mayoral_election_presidential_election_candidate_winner,,outcome_space,none,0,31,0,0,31,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_alex_padilla_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,2026_will_alex_padilla_win_the_california_governor_election_in_2026_presidential_election_candidate_winner,,outcome_space,none,0,21,0,0,21,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_will_andy_biggs_win_the_2026_arizona_governor_republican_primary_election_presidential_election_candidate_winner,2026_will_andy_biggs_win_the_2026_arizona_governor_republican_primary_election_presidential_election_candidate_winner,,outcome_space,none,0,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
