blocker_category,count,space_id
infrastructure,66,2025_us_presidential_election_candidate_winner
infrastructure,58,2026_us_presidential_election_candidate_winner
economic_or_replay,25,unknown_year_us_presidential_election_candidate_winner
economic_or_replay,59,llm_hyp_540881_559651_temporal_ordering_pair
infrastructure,1,llm_hyp_540843_665374_temporal_ordering_pair
economic_or_replay,82,premier_league_champion
infrastructure,1,1749720910d3399597ffdd788705ecfd
infrastructure,1,93777f419855eb153deebd3eac885039
infrastructure,1,d8a22ae57c018c6bdd2edd345b2c9750
infrastructure,1,e4726cc858462a5f29c00086ed4083b5
economic_or_replay,35,sports_championship_conference_progression
economic_or_replay,166,sports_ranking_finish_position
