blocker_category,count,space_id
infrastructure,66,2025_us_presidential_election_candidate_winner
infrastructure,58,2026_us_presidential_election_candidate_winner
replay_policy,10,2026_us_presidential_election_candidate_winner
replay_policy,124,unknown_year_us_presidential_election_candidate_winner
replay_policy,79,llm_hyp_553828_553856_likely_duplicate_market
replay_policy,81,llm_hyp_540881_559651_temporal_ordering_pair
infrastructure,1,llm_hyp_540843_665374_temporal_ordering_pair
replay_policy,168,premier_league_champion
replay_policy,464,sports_championship_conference_progression
infrastructure,1,1749720910d3399597ffdd788705ecfd
infrastructure,1,93777f419855eb153deebd3eac885039
infrastructure,1,d8a22ae57c018c6bdd2edd345b2c9750
infrastructure,1,e4726cc858462a5f29c00086ed4083b5
replay_policy,235,sports_ranking_finish_position
