space_id,space_name,domain,space_attribution_status,strategy_families_available,market_count,relationship_count,strict_relationship_count,exploratory_relationship_count,diagnostic_only_relationship_count,price_history_coverage_pct,aligned_tick_count,gross_violation_count,net_violation_count,accepted_trade_count,raw_fill_count,unique_violation_window_count,independent_violation_windows,distinct_relationships_traded,distinct_bundles_traded,simulated_pnl,average_trade_return_pct,median_trade_return_pct,total_trade_cost,total_return_pct,max_drawdown,total_slippage,avg_edge,median_edge,best_edge,worst_trade_pnl,best_trade_pnl,primary_blocker,secondary_blocker,suspicious_flag_count,accepted_trade_suspicious_flag_count,completeness_status,known_total_candidates,dominant_relationship_share_of_pnl,space_grade,recommended_next_action,dominant_trade_share_of_pnl,gross_opportunity_rows,integrity_warning,net_opportunity_rows,raw_replay_fills
sports_championship_conference_progression,sports_championship_conference_progression,,context_space,nesting,0,0,0,0,0,0.0,0,375,97,52,104,34,34,3,0,5.980000000000009,0.0115,0.0015,520.0,0.011500000000000017,0.0,2.5999999999999948,0.0115,0.0015,0.04,0.0025,0.15,economic_or_replay,,0,0,unknown,,0.944816053511704,UNGRADED,Insufficient evidence to grade — run a backtest on this space.,0.0,375,,97,104
13129551f78a304d4f7815a9f0b6b9a7,13129551f78a304d4f7815a9f0b6b9a7,,synthetic_or_missing,,0,0,0,0,2165,0.0,0,2220,2185,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.0,0.0,economic_or_replay,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Run looser economic/replay preset (exploratory_trade_surface) on this space.,0.0,2220,,2185,0
1da024481b7bf08570081b1a4c3ce2ce,1da024481b7bf08570081b1a4c3ce2ce,,synthetic_or_missing,,0,0,0,0,16,0.0,0,36,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,economic_or_replay,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Run looser economic/replay preset (exploratory_trade_surface) on this space.,0.0,36,,36,0
1f8505d4254d1cdc5bd0b53416eb6b54,1f8505d4254d1cdc5bd0b53416eb6b54,,synthetic_or_missing,,0,0,0,0,15,0.0,0,35,35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,economic_or_replay,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Run looser economic/replay preset (exploratory_trade_surface) on this space.,0.0,35,,35,0
2020_us_presidential_election_candidate_winner,2020_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2022_republicans_presidential_nomination,2022_republicans_presidential_nomination,,outcome_space,pairwise_mutual_exclusion,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2022_us_presidential_election_candidate_winner,2022_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2025_us_presidential_election_candidate_winner,2025_us_presidential_election_candidate_winner,,outcome_space,pairwise_mutual_exclusion,0,66,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,C_INFRASTRUCTURE_BLOCKED,"Backfill price history for markets in this space, then run alignment and a backtest.",0.0,0,,0,0
2026_colombian_presidential_election_candidate_winner,2026_colombian_presidential_election_candidate_winner,,outcome_space,none;pairwise_mutual_exclusion,0,158,0,0,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
2026_colombian_presidential_election_first_round,2026_colombian_presidential_election_first_round,,outcome_space,none;pairwise_mutual_exclusion,0,275,0,0,139,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
