blocker_category,blocker_reason,relationship_id,signal_ts_ms,space_id,strategy_family
other,real_relationship_but_pairwise_not_tradeable,004edb906cd82dc162edf89cee126f73,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,00715cae118903345bac1e08837813a9,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,00814070d2aded17e1582a0af42418c9,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,0081dbf8f24a24a8e21e767e6539aa3d,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,008d79e7bc8c8a3ef9a6cd660166f5b6,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,009b43e916f74d710a1f42e8c497d27a,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,00c8f5dd305c98db3b17f0886bc48f8d,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,00d49c52890f3dddcdeb4ae7cf936b4c,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,01a9ffc6be854c646b55b42480d01652,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,01bba96278be4521bf3a92ef7df5cf91,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,020e9fab6528564bfc06708371e863da,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,029ac0b26fa560f6a5ab22168aa097b1,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,02a9d1e01426fe250359a80acdaaf934,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,02c972f5b8b902f3b9c3a61120b5295f,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0349ab76c81fa42dc45988590daaec5b,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,04a26c6936cf30dee6ee9ff645c8f67d,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,04b38a58585bdb207bbdf12453c94744,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,04ccaf99d8ba4caa308e29958f4d2aeb,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,04d57c6b7c505b644708ea72e0c3213d,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,04eec962c2f74060926a21671e86f532,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,05048c6a01073b8d2448433c13af79da,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,052292ad6f81d1a7c296d2df4fb09343,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,0539b0abe5a581a5effdbbb25933c86f,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0593f3d0911eedf16ca560f5da3bd8eb,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,05efbd11469e1fe6458d4edc81535c6b,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,06e7e96a19d119fb38e438d34f7df1f4,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,070d6fadd0e06101f472f037efbd5913,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0737c12d4f63399f69814c06f93d0060,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,08133cb7ec4e19e767c027a4a4baaaf2,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0815cf0e3e8d422cb7740ac78ebdee5b,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0856151bc937e96283c3835b99a4bf61,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,08701cf4192cb79e4b76acf8898462c4,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,08e7d16be4224619a207315f8ec7c8f0,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0953bdf249e8859f02d8d44315a1b158,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0a23611ef56141a7834e66fe9e0f1b9a,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0a502142f76749c2b584d5339a2ec537,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0a9aaf502f979be57e6cde57b21cb310,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0b357b4d37be836300bf7ef1166140da,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0bfed1102544c0b5c1004e56ae114d57,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0c57bc998353412595caba90b5e5833f,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0c6e11cd2eea4d8eaa15f60cff3b6bd5,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0ccf1b01796cc73bb7619cfe1ab84f76,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0de2445f661ec7f8b0205677887b7c22,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0e040c388a5a482fb1f8048793515d44,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0e49e07556f1d99e132fdfb9e94993f7,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0e64c3527a4f280ae2b990b068f78b9b,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,0f3d64dd611bfb54cf1bcde2cc9a14e6,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,0f9e86a147decdc32b2ab4863a9316af,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,0fcbe59d2ac276232bbc27a7f804b8de,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,101932e46d22fc918fb5a4a9ea7642df,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1021df3d20343ee1989d61d79ff67a66,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,10b7143c899828d82afa96d15543c4b1,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,10fc3126c4b1b0cf56cc79a34600e393,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1134bb1b137586b2439f7f89fc3414fc,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,11c59831f3777e39cf16dcee7c919894,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,11c8e0d599d31a3b7ea6b22da2bd13d1,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,11df365e63982c66d0aac4d23d3f0d47,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,1241e4ae6b894bae8c868fe3ae5345c5,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,124b3be267a34bfdace3dcbc1fb81cc5,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,127ff52d780e7a5ce9d26b2ae4d1a02f,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,12a3f906d79fe960fb75ea05a6de5996,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,12fdd9d5db9f62dab501e7d527f6b8fc,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,13256a36a3f9b9dd3278706997e8868c,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,13310e94f1b10b21949a7f938a20ebea,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1365c4aab07523e9955618c94858aed5,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,13844873b6f99e2f50164b66af55fb06,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,13de22b3f1a54341925f667c83c5249d,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,13e644b5a1860674d2aa6b15d3a760f9,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,13efb977645d52bae095b349dd61cdfa,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,143b8796d61a4d58834c681e4b596140,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,14df7727959d8e6b86015a8150f7145f,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,15f7aed9d57adc93d40b5fbd2cc1a1ee,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,16130ff1e2e1a3a4dfd74c175b7f79c2,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,161952348953444f821966d66b5d472e,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1681d9ce92677b079c502ce2aaa0bc1b,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,16d5b9ad2dc54867b9f586da51bb8455,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,16d9e4f968d0136ce70cce094bae0e9d,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,172364591feea3014ee5f62afb998de1,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,17a18e324ab3112c838d32d0708ea82a,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,17e5f51effd14df3a3fc5b3f60e050ba,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1892610cbb3ab4af5e6b4584dcf1b856,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,18beff3c6ef9a1df347d87e8707f18d8,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,19b2c2da0fab2c7870fe2cdeb79a5438,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,19fce5ff11276183f9ec35e8d8754f1b,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1a256781130b2f3b09c522c2d9c8b0c8,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1aeb3f4e458ad4b1282054f4904d8c07,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1aefabf4228fe797ec77e4ac83a57065,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1afc37026fe681f2a01c5527f3dce856,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1afcf2be30fed5c3f121f8ad4513c7ab,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1b616b7d501044aab5e5ddec491d0233,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1bcb7d7e0b6f792cba103eb3e625d2f4,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1bd73a160f334019a61d9c1f1c67310d,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1bfa2627fb8f27b283a073877502dc45,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1c2f024897a61c33e3530a9e66ab6c0f,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1c59fbe7e6ae0dd40ddbd572db25a79b,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1c61468e4c682291279826b7ee7d4bce,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1d071e2ac5caa6592dcb3dbe2eec5e67,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1d3c3333551342f08d4d579c59ef0e17,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1d4c8c1b32ee2da3e1fe89c0eced6b28,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1d777d793bc246a2999e23b44baae4b2,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1db9a40e9763f537b77a3cc0429db54d,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1dbe95df419482f9de7b3a5df3653001,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1e115b511e71a674888789d9cba7ec59,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1e41dc176e66abaf6ca5ef0174d021bc,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,1e82942ebcd64f1b954a3493e0c9be0c,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,1ec734d433b3d23b92a93a78687d05ce,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1ecfc50fa1a5113f6f38e0115e32c31b,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1f059b8bd8c809f4b501460a9061f3d5,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,1f3f8c0eb0b34c1aaf4939049818cb6e,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,1f57c90f3d265252d152a98d79a6c982,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1f5e206eaf7852601c2ad932b6a4f0b4,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,1f6ff0fd3b9e55580a64912d607a2784,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1f741ec83fcd42858aeb147eae3f3b20,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,1f808e5b0bfe823b9058a84c1ad705ac,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,1fa042e247c14edfa1daf5f6a2702dc8,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,2001a82f88ffc8b2313b1fcdde2dec9c,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,2095c642ac76444e0e9550d1bd78d90a,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,20a769826bb5310e62b256ce3a3596d0,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,20aa321659a47013509b3bdd02b36b3d,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,2108458a103b27e4bdd8a2775cb51720,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,219d3b8f05b4b5555956bfc67b1cb24b,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,21a8ee3fd82b4ce0a76bc98eefce29bb,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,21e761a0af2e652c25950a7232e5fc8f,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,21ecc92386f748849914299742ccd545,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,21f904e22538ad63d35abeedd45ddf23,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,22d45db55b514172be80abd98a58c0e8,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,22d72b00c6c5af9e24d649b0278c9ce1,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,22e30a22e5bb71d5b6c4d93d3679f2c2,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,2369dd0308c744af89574e7b2672c9a7,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,23794de017dd42c8b198e3d12b296b21,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,238397f89dd387885be39e8fc0d55fba,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,248bde03e9627ee506a2a53f3fdf4fed,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,24e25955d5cfbc953380faab8b71d561,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,24f5c991d688f19a591c87b1a28a9a2a,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,25459ebd3c6f12216c1a5e24f2d7af6f,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2591a6ed79d7de63e83b9c45d7cca901,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,25b9b9eb310650c982f4074d58efa836,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,266f2bf9e11f19e1332e86e47fa32025,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,26716f9df134d0fb4b9681685a247d1f,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,2686473d1150e84ec58b907e4dda1016,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,26a7681f7fa636f7defae8b5dc6185a2,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,26adf0d39d61e8fd878ea5fa1377734f,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,27327213ec607c5c0f3caa7f1008b0e7,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2771c2e427637f60bc7f0a3a67c9fd42,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,27f281dd3e5bc99f406fd149603c061e,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,28039e4f5282e555c25ff58e9eebdcc1,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,28151abeecb04b8cb68b4d5eab75cc1c,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,2867c91727f6f6360e082efe8c09483f,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,288069da0e7d24e28d6aea2fbb140c26,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,288c0a47f8849386f136b6ce60033a85,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,28ee657318d843f28df52d30aa692044,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,28f1a97a8b220117268e4c86b5e18efb,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,28f1ae35a1ffe4ea1995fd3a78614051,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2907f209dac17206145eeec68202e471,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,29396da1c4cd4261712b9308868c2d59,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,298246066370d39553c1f46d5e7a0aae,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2a09c0a5a366820613054208360e740c,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2a26c569b509690f0cc2ed56f1d64eb4,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,2a597a1a472c490d98a7d67f6eb596ec,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,2a6e681e89fe5f192aadb373c3bf15d4,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2a874e71801b3844ce312e15bddb24d8,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2af0b0d607be31cdc5509add59e0a41e,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2b7f0406694697fcfdb9bc78bf58ffe2,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2b97dd4940f592c7cdcfefeba1a5167e,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2c0296b0dc00ad55611e521dfcd4efb0,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2c112cfee55d32918e459fd52a6dccab,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2c9c33a235538043597de56dfde8d284,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2ce8de750bab728b47e2c02766dc43e7,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2d3b3dcd23223496bf99c79f7a263576,,electoral_mutual_exclusion,temporal
confidence_gate,relationship_confidence_below_threshold,2d8f7f232406feb2d24b393fd258fd7e,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,2dd6eeaa77a245918abb2fdc2657c6ac,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,2deca3a83e1e45c6b2d17d3b8fe11cc4,,electoral_mutual_exclusion,mutual_exclusion
confidence_gate,relationship_confidence_below_threshold,2df9215c9270816c093e9bfae0c14b94,,electoral_mutual_exclusion,temporal
other,real_relationship_but_pairwise_not_tradeable,2e134c7d2d48447c928f3eb9a795e02f,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,2e24ead69d8d4ddbab26bdfb7e5bc4f3,,electoral_mutual_exclusion,mutual_exclusion
other,real_relationship_but_pairwise_not_tradeable,2e41abbc864145fc8336fa6937ff760a,,electoral_mutual_exclusion,mutual_exclusion
